,Name,Link,Distance,Date,id_course,nom,annee,nb_pts_mont,pays,type_partic,pct_route,pct_piste,pct_sentier,challenge,championnat,inscr_nb,inscr_dt_min,inscr_dt_max,inscr_sur_place,inscr_tarif,inscr_tarif_devise,nb_etp,latitude,longitude,pays_arrivee,ville_depart,ville_arrivee,pays_depart,inscr_site,heure_depart,dist_tot,deniv_tot,deniv_neg_tot,nb_pts,temps_max
9014,X-Treme Run Gramado 2020 - X-Treme Run - Curta 7k 7.80 K,https://itra.run/race/23737,7.80 km, 10/10/2020,23737,X-Treme Run - Curta 7k,2020,,BR,solo,25,45,30,,,300,2020-01-04,2020-09-11,0,25.0,USD,1,-29.3787,-50.8725,BR,Gramado,Gramado,BR,https://www.th2eventos.com.br/,2020-10-10 10:00:00,7.80,370,370,-1,5880
9015,X-Treme Run Gramado 2020 - X-Treme Run - Curta 7k 7.80 K,https://itra.run/race/23737,7.80 km, 10/10/2020,23737,X-Treme Run - Curta 7k,2020,,BR,solo,25,45,30,,,300,2020-01-04,2020-09-11,0,25.0,USD,1,-29.3787,-50.8725,BR,Gramado,Gramado,BR,https://www.th2eventos.com.br/,2020-10-10 10:00:00,7.80,370,370,-1,5880
9016,X-Treme Run Gramado 2021 - X-Treme Run - Curta 7k 7.80 K,https://itra.run/race/23737,7.80 km, 16/10/2021,23737,X-Treme Run - Curta 7k,2020,,BR,solo,25,45,30,,,300,2020-01-04,2020-09-11,0,25.0,USD,1,-29.3787,-50.8725,BR,Gramado,Gramado,BR,https://www.th2eventos.com.br/,2020-10-10 10:00:00,7.80,370,370,-1,5880
9017,X-Treme Run Gramado 2021 - X-Treme Run - Curta 7k 7.80 K,https://itra.run/race/23737,7.80 km, 16/10/2021,23737,X-Treme Run - Curta 7k,2020,,BR,solo,25,45,30,,,300,2020-01-04,2020-09-11,0,25.0,USD,1,-29.3787,-50.8725,BR,Gramado,Gramado,BR,https://www.th2eventos.com.br/,2020-10-10 10:00:00,7.80,370,370,-1,5880
9018,Glasgow To Edinburgh Ultra 2020 91.60 K,https://itra.run/race/23815,91.60 km, 10/10/2020,23815,Glasgow to Edinburgh Ultra,2020,1,GB,solo,2,70,28,,,250,2019-12-01,2020-10-01,1,0.0,0,1,55.9533,-3.18837,,Glasgow,Edinburgh,,https://www.gbultras.com/glasgow-to-edinburgh-ultra/,2020-10-10 06:00:00,91.60,750,700,3,50400
9019,Glasgow To Edinburgh Ultra 2020 91.60 K,https://itra.run/race/23815,91.60 km, 10/10/2020,23815,Glasgow to Edinburgh Ultra,2020,1,GB,solo,2,70,28,,,250,2019-12-01,2020-10-01,1,0.0,0,1,55.9533,-3.18837,,Glasgow,Edinburgh,,https://www.gbultras.com/glasgow-to-edinburgh-ultra/,2020-10-10 06:00:00,91.60,750,700,3,50400
9020,Glasgow To Edinburgh Ultra 2021 91.50 K,https://itra.run/race/23815,91.50 km, 09/10/2021,23815,Glasgow to Edinburgh Ultra,2020,1,GB,solo,2,70,28,,,250,2019-12-01,2020-10-01,1,0.0,0,1,55.9533,-3.18837,,Glasgow,Edinburgh,,https://www.gbultras.com/glasgow-to-edinburgh-ultra/,2020-10-10 06:00:00,91.60,750,700,3,50400
9021,Glasgow To Edinburgh Ultra 2021 91.50 K,https://itra.run/race/23815,91.50 km, 09/10/2021,23815,Glasgow to Edinburgh Ultra,2020,1,GB,solo,2,70,28,,,250,2019-12-01,2020-10-01,1,0.0,0,1,55.9533,-3.18837,,Glasgow,Edinburgh,,https://www.gbultras.com/glasgow-to-edinburgh-ultra/,2020-10-10 06:00:00,91.60,750,700,3,50400
9022,Indiana Trail 100 2020 - 100 Mi 162.10 K,https://itra.run/race/2043,162.10 km, 10/10/2020,2043,100 mi,2020,2,US,solo,2,0,98,,,250,2019-10-25,2020-10-05,0,0.0,0,1,42.1125,-92.9885,,Albion,,,https://runsignup.com/Race/IN/Albion/IndianaTrail100,2020-10-10 06:00:00,162.10,3220,3220,5,109800
9023,Indiana Trail 100 2020 - 100 Mi 162.10 K,https://itra.run/race/2043,162.10 km, 10/10/2020,2043,100 mi,2020,2,US,solo,2,0,98,,,250,2019-10-25,2020-10-05,0,0.0,0,1,42.1125,-92.9885,,Albion,,,https://runsignup.com/Race/IN/Albion/IndianaTrail100,2020-10-10 06:00:00,162.10,3220,3220,5,109800
